Je me sens émotionnellement vidé(e) par mon travail,sep
Je me sens à bout à la fin de ma journée de travail,sep
Je me sens fatigué(e) lorsque je me lève le matin et que j’ai à affronter une autre journée de travail,sep
Je peux comprendre facilement ce que mes patients/clients/élèves ressentent,sap
Je sens que je m’occupe de certains patients/clients/élèves de façon impersonnelle comme s’ils étaient des objets,sd
Travailler avec des gens tout au long de la journée me demande beaucoup d’effort,sep
Je m’occupe très efficacement des problèmes de mes patients/clients/élèves,sap
Je sens que je craque à cause de mon travail,sep
J’ai l’impression  à travers mon travail  d’avoir une influence positive sur les gens,sap
Je suis devenu(e) plus insensible aux gens depuis que j’ai ce travail,sd
Je crains que ce travail ne m’endurcisse émotionnellement,sd
Je me sens plein(e) d’énergie,sap
Je me sens frustré(e) par mon travail,sep
Je sens que je travaille trop dur dans mon travail,sep
Je ne me soucie pas vraiment de ce qui arrive à certains de mes patients/clients/élèves,sd
Travailler en contact direct avec les gens me stresse trop,sep
J’arrive facilement à créer une atmosphère détendue avec mes patients/clients/élèves,sap
Je me sens ragaillardi(e) lorsque dans mon travail j’ai été proche de patients/clients/élèves,sap
J’ai accompli beaucoup de choses qui en valent la peine dans ce travail,sap
Je me sens au bout du rouleau,sap
Dans mon travail  je traite les problèmes émotionnels très calmement,sep
J’ai l’impression que mes patients/clients/élèves me rendent responsable de certains de leurs problèmes,sap
